model,accuracy,f1_score,training_time_s,gpu_memory_mb,dataset_size
GPT-2,0.944,0.909,310,6364,1000
T5,0.905,0.755,372,6465,50000
BERT,0.938,0.733,588,2635,10000
GPT-2,0.929,0.813,535,7225,5000
GPT-2,0.87,0.927,590,3693,5000
T5,0.934,0.756,280,3682,1000
BERT,0.768,0.855,375,6752,10000
BERT,0.789,0.875,442,2119,5000
GPT-2,0.759,0.755,247,2830,10000
RoBERTa,0.815,0.867,137,7906,10000
GPT-2,0.828,0.785,400,5675,1000
GPT-2,0.804,0.845,342,7177,5000
GPT-2,0.916,0.846,173,3369,50000
GPT-2,0.821,0.823,177,2740,1000
T5,0.806,0.721,442,2116,5000
BERT,,0.892,479,7949,5000
T5,0.778,0.774,293,4838,5000
T5,0.91,0.743,399,3150,5000
T5,0.765,0.709,233,3931,5000
GPT-2,0.947,0.836,407,3012,10000
RoBERTa,0.904,0.856,550,3664,1000
BERT,0.79,0.704,461,3081,10000
RoBERTa,,0.818,270,6729,50000
T5,0.913,0.752,569,2512,5000
T5,0.891,0.848,246,4849,1000
RoBERTa,0.896,0.74,274,7215,5000
RoBERTa,0.904,0.859,505,7237,1000
RoBERTa,0.765,0.789,593,2559,10000
T5,0.822,0.915,392,5672,1000
T5,0.773,0.732,223,6583,50000
BERT,0.923,0.778,536,6992,50000
BERT,0.875,0.726,512,5343,1000
T5,0.816,0.913,418,7308,1000
RoBERTa,0.763,0.902,365,6070,1000
RoBERTa,0.812,0.759,295,6799,1000
BERT,0.815,0.852,158,3470,50000
T5,0.896,0.888,596,2580,5000
BERT,0.878,0.828,289,4294,1000
BERT,0.927,0.822,366,5147,1000
GPT-2,0.844,0.756,145,6249,50000
GPT-2,0.774,0.721,474,3679,50000
GPT-2,0.893,0.906,425,5506,10000
RoBERTa,0.902,0.907,528,7092,1000
T5,0.862,0.846,527,4744,10000
T5,0.904,0.778,132,5356,50000
T5,0.849,0.78,435,6045,50000
T5,0.855,0.867,510,3243,5000
GPT-2,0.836,0.906,432,7188,1000
RoBERTa,0.755,0.904,155,5118,10000
RoBERTa,0.772,0.879,292,7104,50000
GPT-2,0.756,0.848,139,4141,50000
RoBERTa,0.877,0.719,440,7869,10000
GPT-2,,0.737,383,7053,5000
T5,0.852,0.907,519,5059,50000
GPT-2,0.932,0.839,261,6548,1000
T5,0.8,0.702,579,7323,50000
T5,,0.723,490,4959,1000
BERT,0.901,0.853,590,4265,10000
GPT-2,0.796,0.701,262,4479,1000
BERT,0.765,0.737,211,6646,10000
GPT-2,0.808,0.826,473,3635,1000
GPT-2,0.782,0.859,441,7408,10000
BERT,0.936,0.85,407,3757,1000
BERT,0.912,0.752,334,6452,5000
GPT-2,0.877,0.864,566,4070,1000
RoBERTa,0.924,0.755,461,7881,1000
T5,0.911,0.775,170,7877,5000
BERT,0.787,0.872,272,4849,50000
T5,0.929,0.849,305,5251,50000
RoBERTa,0.858,0.895,182,5730,1000
RoBERTa,0.911,0.851,309,4489,5000
RoBERTa,0.929,0.831,244,3631,1000
BERT,0.814,0.722,269,4816,10000
RoBERTa,0.772,0.785,433,3015,10000
BERT,0.796,0.761,177,3348,1000
RoBERTa,0.835,0.756,461,6611,50000
T5,0.914,0.924,424,5087,50000
T5,0.922,0.79,299,4839,1000
GPT-2,0.751,0.905,289,2335,1000
T5,0.852,0.845,445,7878,10000
GPT-2,0.833,0.883,390,6592,50000
T5,0.794,0.816,173,2895,1000
BERT,0.774,0.833,563,5546,10000
T5,0.818,0.813,220,2851,50000
GPT-2,0.939,0.745,383,3687,5000
GPT-2,0.815,0.866,172,3931,10000
RoBERTa,0.854,0.765,179,5746,50000
BERT,0.891,0.706,227,4427,50000
T5,0.823,0.848,124,3568,10000
RoBERTa,0.944,0.741,222,6000,5000
T5,0.942,0.916,315,7052,10000
T5,0.8,0.919,381,4738,50000
RoBERTa,0.849,0.91,484,5498,1000
RoBERTa,0.81,0.785,599,7732,1000
RoBERTa,0.807,0.704,491,7387,10000
RoBERTa,0.757,0.914,469,7536,50000
RoBERTa,0.872,0.798,166,7287,1000
T5,0.851,0.922,474,5913,50000
RoBERTa,0.76,0.922,430,3066,10000
BERT,,0.896,543,6380,1000
